label,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,6.0,7.0,0.052385315,566.2173215223088,2.9568956,7.0,4.902076e-07,2.9175774e-06,-4.9862394
1,0.0,7.0,-0.02345645,433.4480705116316,1.7061944,2.0,6.222938e-07,1.7321503e-06,-3.0870125
0,3.0,7.0,0.051052272,444.2405641327265,1.5598143,3.0,1.0629525e-06,2.1584372e-06,-3.1470907
0,1.0,7.0,0.007694409,433.4480705116316,3.2098308,4.0,6.9317787e-07,7.72035e-06,-4.411713
0,7.0,7.0,0.09061817,440.292330995459,2.8448489,8.0,2.3354151e-07,1.5383768e-05,-5.1649785
0,6.0,7.0,0.022837216,444.2405641327265,1.0762662,3.0,8.8353644e-08,2.4485478e-06,-4.096391
0,5.0,2.0,0.120178945,530.6180250214139,3.1115558,3.0,1.9369174e-06,1.1901342e-05,-4.1831937
0,5.0,7.0,0.007355217,530.6180250214139,3.227051,5.0,1.1791254e-06,4.668998e-06,-4.0378757
0,10.0,8.0,0.15382689,476.2319776673981,2.1173928,4.0,2.0893887e-07,2.8806219e-06,-4.785461
0,7.0,2.0,0.17348064,530.6180250214139,2.4221468,9.0,2.7762488e-07,6.4155593e-06,-4.821892
0,7.0,7.0,0.0044890856,476.2319776673981,2.4689226,2.0,2.393066e-07,2.946612e-06,-4.9651155
0,7.0,7.0,0.011743433,476.2319776673981,2.3128116,2.0,7.091705e-07,1.0124821e-06,-3.71522
0,2.0,7.0,-0.009569468,350.62545152506226,1.1793826,2.0,1.0363096e-06,2.733722e-06,-2.6816733
0,11.0,7.0,0.018549917,476.2319776673981,1.5671219,2.0,5.750692e-07,3.048512e-06,-3.5362992
0,1.0,7.0,-0.022386936,433.4480705116316,0.31761897,2.0,2.6074336e-08,6.1287136e-07,7.3773246
0,5.0,7.0,0.023433106,433.4480705116316,1.1775398,7.0,1.0088009e-07,1.7847494e-06,-4.2909193
0,5.0,7.0,-0.018507248,433.4480705116316,2.0793512,7.0,1.7069966e-07,5.2001365e-06,-4.902677
0,5.0,7.0,0.0018137994,476.2319776673981,0.5798751,6.0,4.4427512e-07,2.0285324e-06,0.378629
0,4.0,7.0,0.018765165,444.2405641327265,1.5506232,2.0,4.1303966e-07,2.4900382e-06,-3.8320856
0,3.0,7.0,0.0200604,440.292330995459,0.31896278,6.0,1.7285928e-06,3.5767593e-07,7.456297
0,5.0,7.0,0.15093918,444.2405641327265,0.9833464,8.0,8.072561e-08,1.5008021e-06,-4.0154433
0,8.0,7.0,-0.028975012,433.4480705116316,1.5745416,4.0,1.2030904e-06,1.04426745e-05,-3.0088327
1,2.0,1.0,-0.061607968,444.2405641327265,5.8925548,1.0,8.791032e-07,6.6410445e-05,-5.411729
0,6.0,7.0,0.037687875,440.292330995459,2.1638896,2.0,2.5484394e-07,1.7350372e-06,-4.661192
0,2.0,7.0,-0.008683712,444.2405641327265,0.48050618,0.0,3.944607e-08,1.7335468e-06,-3.3588507
0,4.0,7.0,0.03282289,389.9206706472762,0.9603678,3.0,1.1035462e-07,4.243365e-06,-3.9517226
0,8.0,7.0,0.017489942,440.292330995459,1.7964827,3.0,2.3047801e-07,2.453784e-06,-4.3547997
0,3.0,5.0,0.14237812,530.6180250214139,0.13033205,4.0,4.279737e-08,2.5149612e-07,11.293212
0,5.0,7.0,-0.022053486,440.292330995459,2.453936,5.0,3.2985974e-07,6.970323e-06,-4.79035
0,2.0,1.0,0.050382104,488.8305433260899,2.150493,2.0,1.6483465e-06,9.23212e-06,-1.7647964
0,12.0,7.0,0.0043862993,530.6180250214139,4.553659,2.0,8.1934826e-07,1.2266894e-05,-4.885991
0,4.0,7.0,0.02808406,530.6180250214139,1.4110583,6.0,1.1583766e-07,5.6043764e-06,-4.4111047
1,2.0,7.0,0.041855145,530.6180250214139,1.9939306,5.0,3.424549e-07,7.823759e-06,-4.255642
0,1.0,7.0,-0.003317501,389.9206706472762,0.5163668,3.0,8.478027e-08,6.3471833e-07,2.879511
0,3.0,2.0,0.14623639,476.2319776673981,1.4009727,8.0,1.6370028e-06,2.2512763e-06,-1.778119
0,7.0,7.0,0.014772582,444.2405641327265,1.1088758,3.0,1.0618037e-06,2.2151753e-06,-2.6065044
0,4.0,7.0,-0.008142698,440.292330995459,0.5264197,5.0,4.3215234e-08,1.3816458e-06,-3.387588
0,1.0,2.0,0.056372803,566.2173215223089,1.6885912,10.0,0.00042215516,5.482979e-06,2.1518576
1,0.0,7.0,-0.028517265,433.4480705116316,1.1061968,2.0,5.6318316e-07,1.8702442e-06,-0.27504468
0,4.0,2.0,0.114469156,476.2319776673981,3.1448724,9.0,1.7836843e-05,8.06207e-06,-1.574653
0,5.0,7.0,0.08745405,440.292330995459,7.728761,24.0,2.265965e-06,2.2728149e-05,-5.172838
0,7.0,7.0,0.035412926,530.6180250214139,0.82868385,2.0,3.6653358e-07,6.001174e-07,-2.444646
0,6.0,7.0,0.007594335,433.4480705116316,1.5358222,5.0,1.7312344e-07,6.148283e-06,-4.3504534
0,7.0,7.0,0.020413147,433.4480705116316,4.383946,5.0,3.7499584e-07,9.557822e-06,-5.622282
0,11.0,7.0,0.054041974,530.6180250214139,1.944526,6.0,1.5963148e-07,2.8392767e-06,-4.829893
0,4.0,2.0,0.18043353,476.2319776673981,1.4943228,24.0,1.566713e-06,2.2409602e-06,-1.9801142
0,9.0,7.0,0.013052924,444.2405641327265,4.29086,5.0,6.565327e-07,2.037803e-06,-5.150452
0,3.0,7.0,-0.011430956,444.2405641327265,1.5553607,7.0,1.2768383e-07,3.134563e-06,-4.604594
